名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
正月荷花才去栽,江苏省,如东县,五声,宫调,0.413551402,3.180584621,0.720974706,1.894736842,0.008695652,0.32173913,0,0.173913043,0,0.130434783,0,0,0.217391304,0,0.147826087,0,0
正月里来正月正,江苏省,浦口区,五声,徵调,0.347682119,2.945413413,0.715383012,2.054054054,0,0.283783784,0,0.22972973,0,0.162162162,0,0,0.162162162,0,0.162162162,0,0
正月里棉花从起头,江苏省,句容市,五声,徵调,0.553714286,2.412228442,0.8698936,2.315789474,0.025641026,0.153846154,0,0.256410256,0,0.128205128,0,0,0.320512821,0,0.115384615,0,0
江南百姓苦愁愁(二),江苏省,苏州市,五声,宫调,0.420833333,2.687618865,0.422946567,1.921568627,0,0.254901961,0,0.235294118,0,0.039215686,0,0,0.137254902,0,0.333333333,0,0
测水号子(三),江苏省,东台市,五声,商调,0.483823529,4.010140799,1.053268722,2.962962963,0,0.037037037,0,0.185185185,0,0.296296296,0,0,0.296296296,0,0.185185185,0,0
烧锅煮饭问声婆,江苏省,昆山市,五声,角调,0.505747126,2.98207736,0.455113282,1.543859649,0,0.228070175,0,0.105263158,0,0.105263158,0,0,0.122807018,0,0.438596491,0,0
看牛哥哥苦哀哀,江苏省,溧阳市,五声,角调,0.502868852,4.712237183,0.586440612,2.952380952,0,0.19047619,0,0.083333333,0,0.333333333,0,0,0.19047619,0,0.202380952,0,0
瞧亲家,江苏省,赣榆县,六声,宫调,0.308947368,4.369527685,0.750144662,2.526315789,0,0.210526316,0,0.105263158,0,0.105263158,0.131578947,0,0.223684211,0,0.223684211,0,0
石硪淮号子,江苏省,淮阴市,七声,羽调,0.35625,5.455417185,0.695485904,2.869565217,0,0.27173913,0,0.173913043,0,0.076086957,0.02173913,0.02173913,0.206521739,0,0.22826087,0,0
砻盘头上牡丹开,江苏省,溧阳市,五声,羽调,0.386448598,2.967316629,0.978331773,2.076923077,0.018867925,0.20754717,0,0.113207547,0,0.160377358,0,0,0.245283019,0,0.254716981,0,0
紫竹调（三）,江苏省,苏州市,六声,徵调,0.300245098,4.306725149,0.8496306,2.04950495,0.009803922,0.215686275,0,0.137254902,0,0.156862745,0,0,0.254901961,0,0.215686275,0,0.009803922
